# pack	reading	output	dataset	category
geography	anbaojianshan	暗寶劍山	rudy-2026.09.03:upstream	geography_history
geography	andongjunshan	安東軍山	rudy-2026.09.03:upstream	geography_history
geography	andongkunshandongbeifeng	安東昆山東北峰	rudy-2026.09.03:upstream	geography_history
geography	ang'tian'hu	昂天湖	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ankengshan	安坑山	rudy-2026.09.03:upstream	geography_history
geography	anlaishan	安來山	rudy-2026.09.03:upstream	geography_history
geography	anlunmingshan	鞍輪名山	rudy-2026.09.03:upstream	geography_history
geography	anmashan	鞍馬山	rudy-2026.09.03:upstream	geography_history
geography	anq	安南區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	antongshan	安通山	rudy-2026.09.03:upstream	geography_history
geography	antongyueshan	安通越山	rudy-2026.09.03:upstream	geography_history
geography	antongyueshanxifeng	安通越山西峰	rudy-2026.09.03:upstream	geography_history
geography	antukuqianshan	安土堀前山	rudy-2026.09.03:upstream	geography_history
geography	antukushan	安土堀山	rudy-2026.09.03:upstream	geography_history
geography	anxinshan	安新山	rudy-2026.09.03:upstream	geography_history
geography	anyingshan	暗影山	rudy-2026.09.03:upstream	geography_history
geography	ao'di	澳底	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'di'jian	澳底尖	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'di'qing'an'gong	澳底慶安宮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'di'qing'an'miao	澳底慶安廟	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'di'yu'gang	澳底漁港	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'feng'yu'dai	鰲峰玉帶	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'hu	凹湖	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'hua	澳花	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'hua'pu'bu	澳花瀑布	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ao'hua'shan	澳花山	rudy-2026.09.03:mcbopomofo-derived	geography_history
