ji	ㄐㄧˊ	㘹	0.0	ㄐㄧˊ
fa	ㄈㄚˊ	㘺	0.0	ㄈㄚˊ
yan	ㄧㄢ	㘻	0.0	ㄧㄢˉ
yin	ㄧㄣ	㘻	0.0	ㄧㄣˉ
nie	ㄋㄧㄝˋ	㘿	0.0	ㄋㄧㄝˋ
mei	ㄇㄟˊ	㙁	0.0	ㄇㄟˊ
bang	ㄅㄤ	㙃	0.0	ㄅㄤˉ
chu	ㄔㄨˋ	㙇	0.0	ㄔㄨˋ
xia	ㄒㄧㄚˋ	㙈	0.0	ㄒㄧㄚˋ
dian	ㄉㄧㄢˇ	㙉	0.0	ㄉㄧㄢˇ
tian	ㄊㄧㄢˇ	㙉	0.0	ㄊㄧㄢˇ
qi	ㄑㄧˊ	㙋	0.0	ㄑㄧˊ
duo	ㄉㄨㄛ	㙍	0.0	ㄉㄨㄛˉ
duo	ㄉㄨㄛˊ	㙍	0.0	ㄉㄨㄛˊ
wei	ㄨㄟ	㙎	0.0	ㄨㄟˉ
duo	ㄉㄨㄛˇ	㙐	0.0	ㄉㄨㄛˇ
yu	ㄩˇ	㙑	0.0	ㄩˇ
ye	ㄧㄝˇ	㙒	0.0	ㄧㄝˇ
kui	ㄎㄨㄟˊ	㙓	0.0	ㄎㄨㄟˊ
xing	ㄒㄧㄥ	㙚	0.0	ㄒㄧㄥˉ
tai	ㄊㄞˊ	㙜	0.0	ㄊㄞˊ
zong	ㄗㄨㄥ	㙡	0.0	ㄗㄨㄥˉ
liu	ㄌㄧㄡˋ	㙧	0.0	ㄌㄧㄡˋ
